sentence,language,langdetect,lingua
亚森妈妈说。,zh-cn,zh-cn,zh-cn
‘还有，你会学到一些非常有趣的事，你的英语也很快就会变得越来越好。’,zh-cn,zh-cn,zh-cn
亚森爸爸保证道。,zh-cn,zh-cn,zh-cn
亚森并没有被说服，但是当那天早上安德鲁来敲门，脸上挂着大大的微笑向他讲述学校有多好玩的时候，亚森感觉好多了，因为他相信自己的朋友。,zh-cn,zh-cn,zh-cn
两个男孩走向学校大门，聊了一路：安德鲁和亚森讲起了操场，谁是最好的老师，男孩子们都特别好玩，女孩子们都很漂亮，还有他们午餐时间怎么用奶油冻配布丁。,zh-cn,zh-cn,zh-cn
亚森并不知道奶油冻是什么，但是看安德鲁说起它时那么兴奋，亚森觉得肯定非常好吃。,zh-cn,zh-cn,zh-cn
但是当他们进入教室，事情并没有像亚森想象的那样进行。,zh-cn,zh-cn,zh-cn
老师让安德鲁坐在教室前排，并向其他同学介绍亚森。,zh-cn,zh-cn,zh-cn
他不喜欢这样站在全班面前，还有个男孩大声说他是臭乎乎的外国人。,zh-cn,zh-cn,zh-cn
男孩女孩们都大笑起来，老师让亚森介绍自己的名字和来自哪里的时候，另一个男孩取笑他的口音。,zh-cn,zh-cn,zh-cn
‘我听不明白他说什么，老师。,zh-cn,zh-cn,zh-cn
他甚至都不会说英语，’ 那个淘气的男孩说。,zh-cn,zh-cn,zh-cn
"Yasin no quería dejar su casa en Samarra, pero su padre decía que era lo mejor para su familia porque ya no era seguro vivir allí y él quería que su hijo creciera en un país donde se aceptase a todo el mundo.",es,es,es
"El padre de Yasin le contó a su hijo que Inglaterra era un país multicultural, donde la gente vivía y trabajaba en armonía, sin importar la raza o religión del otro.",es,es,es
"Aunque a Yasin no le gustaba la idea de dejar Irak, pronto se acostumbró a su nueva vida en una gran ciudad llamada Londres.",es,es,es
"Londres, con sus edificios altos y museos, era verdaderamente fascinante.",es,es,es
"Lo preferido de Yasin era el Planetario de Londres, y el gran río Támesis con todos sus puentes antiguos.",es,es,es
"Yasin incluso se hizo amigo del chico que vivía en la casa de al lado, Andrew.",es,es,es
"Durante todo el verano, Andrew y Yasin jugaron en el parque y fueron al zoo con la madre de Andrew.",es,es,es
"Andrew compartía sus juguetes y cómics con Yasin y le contó todo sobre sus superhéroes favoritos, ¡hasta construyeron un campamento en el jardín trasero de Yasin para esconderse de los mayores!",es,es,es
"El verano fue divertido y Yasin pronto se sintió en Londres como en casa, a pesar de que fuese una ciudad muy grande y estuviese lejos de ser tan soleada y calurosa como lo era Samarra.",es,es,es
"Su inglés mejoraba más y más, en especial gracias a la ayuda de Andrew, aunque había palabras que Yasin no entendía y a veces se sentía tonto al no poder hablar tan bien como quisiera.",es,es,es
"Cuando las hojas empezaron a caer de los árboles, por fin llegó septiembre y los padres de Yasin le explicaron que era el momento de que fuese al colegio.",es,es,es
"Yasin tenía siete años y entraría en el primer curso de primaria en el colegio de su barrio, ¡el mismo curso que Andrew!",es,es,es
"Aunque Yasin estaba muy nervioso por empezar el colegio, sus padres le aseguraron que sería divertido y que allí haría muchos amigos y aprendería muchas cosas interesantes.  ",es,es,es
"""Dicen que los colegios en Inglaterra son muy buenos,"" dijo su madre.  ",es,es,es
"""Aprenderás cosas muy interesantes y tu inglés mejorará en muy poco tiempo,"" le aseguró su padre.",es,es,es
Yasin seguía sin estar convencido.,es,es,es
"Cuando Andrew llamó a la puerta esa misma mañana con una sonrisa de oreja a oreja diciendo lo bien que se lo pasarían en el colegio, Yasin se empezó a sentir mucho mejor porque él confiaba en su amigo.",es,es,es
Los dos amigos hablaron hasta llegar a la puerta del colegio.,es,es,es
"Andrew le contó a Yasin quién era el mejor profesor, también le habló del patio donde saldrían a jugar, sobre los chicos más divertidos y las chicas más guapas, y de que habría natillas de postre en el comedor.",es,es,es
"Yasin no sabía lo que eran las natillas, pero Andrew parecía muy emocionado así que Yasin pensó que estarían muy buenas.",es,es,es
"Cuando llegaron a clase, las cosas no fueron tan bien como imaginaron.",es,es,es
La profesora le dijo a Andrew que se sentara mientras presentaba a Yasin a los demás niños.,es,es,es
A él no le gustaba estar delante de toda la clase.,es,es,es
"Un niño levantó la voz diciendo que era un “sucio intruso” a lo que todos los demás rieron, y otro niño se rio de su acento cuando dijo cuál era su nombre y el país del que venía.",es,es,es
"""No le entiendo, profesora.",es,es,es
"No puede ni hablar bien inglés,"" exclamó el chico con muy mala intención.",es,es,es
"Cuando terminó, Yasin se sentó al final de la clase, pero deseaba estar al lado de Andrew ya que se sentía muy solo.",es,es,es
"La chica a su lado le miraba de forma extraña, lo cual le hacía sentir muy incómodo.",es,es,es
"Durante la clase, levantó la mano para preguntar a la profesora si podía cambiarse de sitio ya que Yasin no entendía bien qué había hecho para desagradar a la chica.",es,es,es
"Cuando llegó la hora del recreo, todos los niños cerraron los libros y se abrigaron para salir afuera al sol de otoño.",es,es,es
"All right, cest la vie!",en,fr,en
Let's go to café.,en,fr,es
Vado a the park dopo.,it,pt,en
"Ok, se vuoi possiamo talk domani, but non so, maybe after dinner va bene.",it,no,it
我爱Beijing,zh-cn,sw,zh-cn
"洋气不洋气, City不City",zh-cn,en,zh-cn
Voy a la fiesta this afternoon.,es,en,en
"Tengo un gato, and tomorrow voy al cinéma avec mis amigos.",es,en,es
